Info    : Reading '../results/t15/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t15/domain.msh'
> Iterations:
i =   0 | cost = -0.0217 | cstr = 1.0014 | nder = 0.0236 | steps =  0 | lagr = -0.0217 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = -0.0217 | cstr = 0.9971 | nder = 0.0290 | steps = 16 | lagr = -0.0217 | lm = -0.0057 | mu = 0.0000 | 
i =   2 | cost = -0.0223 | cstr = 1.0308 | nder = 0.0317 | steps = 15 | lagr = -0.0214 | lm = 0.0586 | mu = -0.0028 | 
i =   3 | cost = -0.0220 | cstr = 1.0190 | nder = 0.0390 | steps = 15 | lagr = -0.0211 | lm = 0.0656 | mu = 0.0277 | 
i =   4 | cost = -0.0217 | cstr = 1.0044 | nder = 0.0295 | steps = 15 | lagr = -0.0215 | lm = 0.0553 | mu = 0.0466 | 
i =   5 | cost = -0.0218 | cstr = 1.0069 | nder = 0.0384 | steps = 16 | lagr = -0.0214 | lm = 0.0648 | mu = 0.0509 | 
i =   6 | cost = -0.0216 | cstr = 0.9986 | nder = 0.0292 | steps = 15 | lagr = -0.0217 | lm = 0.0550 | mu = 0.0578 | 
i =   7 | cost = -0.0216 | cstr = 1.0027 | nder = 0.0358 | steps = 16 | lagr = -0.0215 | lm = 0.0619 | mu = 0.0564 | 
i =   8 | cost = -0.0215 | cstr = 0.9953 | nder = 0.0244 | steps = 16 | lagr = -0.0217 | lm = 0.0498 | mu = 0.0591 | 
i =   9 | cost = -0.0215 | cstr = 0.9959 | nder = 0.0211 | steps = 16 | lagr = -0.0217 | lm = 0.0464 | mu = 0.0545 | 
i =  10 | cost = -0.0215 | cstr = 0.9952 | nder = 0.0157 | steps = 16 | lagr = -0.0217 | lm = 0.0409 | mu = 0.0505 | 
i =  11 | cost = -0.0216 | cstr = 0.9997 | nder = 0.0196 | steps = 16 | lagr = -0.0216 | lm = 0.0452 | mu = 0.0457 | 
i =  12 | cost = -0.0216 | cstr = 1.0013 | nder = 0.0224 | steps = 16 | lagr = -0.0215 | lm = 0.0481 | mu = 0.0455 | 
i =  13 | cost = -0.0215 | cstr = 0.9946 | nder = 0.0109 | steps = 16 | lagr = -0.0217 | lm = 0.0359 | mu = 0.0468 | 
i =  14 | cost = -0.0216 | cstr = 0.9987 | nder = 0.0136 | steps = 16 | lagr = -0.0216 | lm = 0.0389 | mu = 0.0414 | 
i =  15 | cost = -0.0216 | cstr = 0.9994 | nder = 0.0136 | steps = 15 | lagr = -0.0216 | lm = 0.0390 | mu = 0.0402 | 
i =  16 | cost = -0.0216 | cstr = 0.9987 | nder = 0.0118 | steps = 15 | lagr = -0.0216 | lm = 0.0371 | mu = 0.0396 | 
i =  17 | cost = -0.0216 | cstr = 1.0005 | nder = 0.0140 | steps = 16 | lagr = -0.0216 | lm = 0.0393 | mu = 0.0384 | 
i =  18 | cost = -0.0215 | cstr = 0.9974 | nder = 0.0087 | steps = 16 | lagr = -0.0216 | lm = 0.0337 | mu = 0.0388 | 
i =  19 | cost = -0.0215 | cstr = 0.9990 | nder = 0.0093 | steps = 16 | lagr = -0.0216 | lm = 0.0344 | mu = 0.0363 | 
i =  20 | cost = -0.0215 | cstr = 0.9996 | nder = 0.0096 | steps = 15 | lagr = -0.0215 | lm = 0.0346 | mu = 0.0354 | 
i =  21 | cost = -0.0215 | cstr = 0.9987 | nder = 0.0074 | steps = 16 | lagr = -0.0216 | lm = 0.0324 | mu = 0.0350 | 
i =  22 | cost = -0.0215 | cstr = 0.9997 | nder = 0.0080 | steps = 16 | lagr = -0.0215 | lm = 0.0330 | mu = 0.0337 | 
i =  23 | cost = -0.0215 | cstr = 0.9995 | nder = 0.0075 | steps = 16 | lagr = -0.0216 | lm = 0.0325 | mu = 0.0334 | 
i =  24 | cost = -0.0215 | cstr = 1.0000 | nder = 0.0080 | steps = 16 | lagr = -0.0215 | lm = 0.0330 | mu = 0.0329 | 
i =  25 | cost = -0.0215 | cstr = 0.9980 | nder = 0.0043 | steps = 16 | lagr = -0.0216 | lm = 0.0290 | mu = 0.0329 | 
i =  26 | cost = -0.0215 | cstr = 0.9988 | nder = 0.0040 | steps = 16 | lagr = -0.0216 | lm = 0.0287 | mu = 0.0310 | 
i =  27 | cost = -0.0216 | cstr = 1.0022 | nder = 0.0092 | steps = 16 | lagr = -0.0215 | lm = 0.0344 | mu = 0.0299 | 
i =  28 | cost = -0.0215 | cstr = 0.9976 | nder = 0.0029 | steps = 16 | lagr = -0.0216 | lm = 0.0273 | mu = 0.0321 | 
i =  29 | cost = -0.0216 | cstr = 0.9973 | nder = 0.0018 | steps = 16 | lagr = -0.0217 | lm = 0.0244 | mu = 0.0298 | 
i =  30 | cost = -0.0217 | cstr = 1.0019 | nder = 0.0058 | steps = 16 | lagr = -0.0217 | lm = 0.0309 | mu = 0.0272 | 
i =  31 | cost = -0.0217 | cstr = 1.0036 | nder = 0.0108 | steps = 16 | lagr = -0.0216 | lm = 0.0362 | mu = 0.0290 | 
i =  32 | cost = -0.0216 | cstr = 1.0005 | nder = 0.0084 | steps = 16 | lagr = -0.0216 | lm = 0.0334 | mu = 0.0325 | 
i =  33 | cost = -0.0215 | cstr = 0.9947 | nder = 0.0035 | steps = 15 | lagr = -0.0217 | lm = 0.0224 | mu = 0.0329 | 
i =  34 | cost = -0.0217 | cstr = 1.0005 | nder = 0.0045 | steps = 16 | lagr = -0.0217 | lm = 0.0289 | mu = 0.0278 | 
i =  35 | cost = -0.0217 | cstr = 0.9957 | nder = 0.0061 | steps = 16 | lagr = -0.0218 | lm = 0.0198 | mu = 0.0284 | 
i =  36 | cost = -0.0219 | cstr = 1.0032 | nder = 0.0058 | steps = 16 | lagr = -0.0218 | lm = 0.0306 | mu = 0.0242 | 
i =  37 | cost = -0.0219 | cstr = 1.0038 | nder = 0.0096 | steps = 16 | lagr = -0.0218 | lm = 0.0349 | mu = 0.0273 | 
i =  38 | cost = -0.0218 | cstr = 0.9993 | nder = 0.0059 | steps = 15 | lagr = -0.0219 | lm = 0.0297 | mu = 0.0310 | 
i =  39 | cost = -0.0218 | cstr = 0.9963 | nder = 0.0056 | steps = 16 | lagr = -0.0219 | lm = 0.0229 | mu = 0.0303 | 
i =  40 | cost = -0.0220 | cstr = 1.0022 | nder = 0.0072 | steps = 15 | lagr = -0.0220 | lm = 0.0312 | mu = 0.0268 | 
i =  41 | cost = -0.0220 | cstr = 0.9967 | nder = 0.0072 | steps = 16 | lagr = -0.0221 | lm = 0.0224 | mu = 0.0289 | 
i =  42 | cost = -0.0223 | cstr = 1.0017 | nder = 0.0070 | steps = 15 | lagr = -0.0222 | lm = 0.0291 | mu = 0.0258 | 
i =  43 | cost = -0.0224 | cstr = 1.0040 | nder = 0.0108 | steps = 16 | lagr = -0.0223 | lm = 0.0353 | mu = 0.0274 | 
i =  44 | cost = -0.0224 | cstr = 0.9982 | nder = 0.0087 | steps = 16 | lagr = -0.0224 | lm = 0.0276 | mu = 0.0312 | 
i =  45 | cost = -0.0226 | cstr = 0.9955 | nder = 0.0125 | steps = 16 | lagr = -0.0227 | lm = 0.0204 | mu = 0.0294 | 
i =  46 | cost = -0.0231 | cstr = 1.0014 | nder = 0.0113 | steps = 16 | lagr = -0.0230 | lm = 0.0279 | mu = 0.0251 | 
i =  47 | cost = -0.0234 | cstr = 1.0043 | nder = 0.0130 | steps = 16 | lagr = -0.0233 | lm = 0.0351 | mu = 0.0264 | 
i =  48 | cost = -0.0237 | cstr = 1.0040 | nder = 0.0152 | steps = 16 | lagr = -0.0235 | lm = 0.0385 | mu = 0.0306 | 
i =  49 | cost = -0.0240 | cstr = 0.9947 | nder = 0.0186 | steps = 16 | lagr = -0.0242 | lm = 0.0238 | mu = 0.0344 | 
i =  50 | cost = -0.0249 | cstr = 1.0031 | nder = 0.0192 | steps = 16 | lagr = -0.0248 | lm = 0.0356 | mu = 0.0293 | 
i =  51 | cost = -0.0258 | cstr = 1.0042 | nder = 0.0225 | steps = 16 | lagr = -0.0256 | lm = 0.0407 | mu = 0.0323 | 
i =  52 | cost = -0.0267 | cstr = 1.0054 | nder = 0.0264 | steps = 16 | lagr = -0.0264 | lm = 0.0470 | mu = 0.0363 | 
i =  53 | cost = -0.0279 | cstr = 0.9998 | nder = 0.0319 | steps = 16 | lagr = -0.0279 | lm = 0.0410 | mu = 0.0414 | 
i =  54 | cost = -0.0300 | cstr = 1.0072 | nder = 0.0391 | steps = 16 | lagr = -0.0297 | lm = 0.0555 | mu = 0.0412 | 
i =  55 | cost = -0.0327 | cstr = 1.0060 | nder = 0.0505 | steps = 15 | lagr = -0.0324 | lm = 0.0599 | mu = 0.0480 | 
i =  56 | cost = -0.0374 | cstr = 1.0111 | nder = 0.0694 | steps = 16 | lagr = -0.0367 | lm = 0.0757 | mu = 0.0536 | 
i =  57 | cost = -0.0458 | cstr = 1.0163 | nder = 0.1070 | steps = 16 | lagr = -0.0445 | lm = 0.0965 | mu = 0.0640 | 
i =  58 | cost = -0.0661 | cstr = 1.0405 | nder = 0.1899 | steps = 16 | lagr = -0.0612 | lm = 0.1602 | mu = 0.0794 | 
i =  59 | cost = -0.1245 | cstr = 1.0726 | nder = 0.3058 | steps = 16 | lagr = -0.1107 | lm = 0.2624 | mu = 0.1173 | 
i =  60 | cost = -0.2169 | cstr = 1.1516 | nder = 0.1997 | steps = 16 | lagr = -0.1660 | lm = 0.4872 | mu = 0.1842 | 
i =  61 | cost = -0.2450 | cstr = 1.1504 | nder = 0.1451 | steps = 16 | lagr = -0.1750 | lm = 0.6155 | mu = 0.3149 | 
i =  62 | cost = -0.2086 | cstr = 1.0646 | nder = 0.0930 | steps = 16 | lagr = -0.1757 | lm = 0.5737 | mu = 0.4446 | 
i =  63 | cost = -0.1796 | cstr = 0.9997 | nder = 0.0727 | steps = 16 | lagr = -0.1797 | lm = 0.5036 | mu = 0.5043 | 
i =  64 | cost = -0.1711 | cstr = 0.9702 | nder = 0.0870 | steps = 15 | lagr = -0.1852 | lm = 0.4445 | mu = 0.5039 | 
i =  65 | cost = -0.1768 | cstr = 0.9681 | nder = 0.1029 | steps = 16 | lagr = -0.1910 | lm = 0.4123 | mu = 0.4761 | 
i =  66 | cost = -0.1866 | cstr = 0.9669 | nder = 0.1116 | steps = 16 | lagr = -0.2003 | lm = 0.3801 | mu = 0.4464 | 
i =  67 | cost = -0.2004 | cstr = 0.9728 | nder = 0.1110 | steps = 16 | lagr = -0.2110 | lm = 0.3612 | mu = 0.4155 | 
i =  68 | cost = -0.2143 | cstr = 0.9857 | nder = 0.1038 | steps = 16 | lagr = -0.2197 | lm = 0.3615 | mu = 0.3902 | 
i =  69 | cost = -0.2238 | cstr = 0.9871 | nder = 0.0957 | steps = 16 | lagr = -0.2286 | lm = 0.3510 | mu = 0.3768 | 
i =  70 | cost = -0.2330 | cstr = 0.9941 | nder = 0.0850 | steps = 16 | lagr = -0.2351 | lm = 0.3529 | mu = 0.3648 | 
i =  71 | cost = -0.2391 | cstr = 0.9892 | nder = 0.0749 | steps = 16 | lagr = -0.2428 | lm = 0.3377 | mu = 0.3593 | 
i =  72 | cost = -0.2479 | cstr = 1.0015 | nder = 0.0677 | steps = 16 | lagr = -0.2474 | lm = 0.3523 | mu = 0.3492 | 
i =  73 | cost = -0.2531 | cstr = 1.0035 | nder = 0.0692 | steps = 16 | lagr = -0.2519 | lm = 0.3577 | mu = 0.3506 | 
