Info    : Reading '../results/t56/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t56/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t56
> Nbr of triangles = 20946
> Value = 0.01
> Iterations:
i =   0 | cost = 2.7139 | cstr = 1.5925 | nder = 5.3750 | steps =  0 | lagr = 2.7139 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = 2.3461 | cstr = 1.6168 | nder = 3.3012 | steps = 14 | lagr = 2.7262 | lm = 1.2325 | mu = 0.0000 | 
i =   2 | cost = 2.1092 | cstr = 1.6313 | nder = 2.2230 | steps = 14 | lagr = 2.6617 | lm = 1.5058 | mu = 0.2444 | 
i =   3 | cost = 1.9544 | cstr = 1.6405 | nder = 1.5684 | steps = 14 | lagr = 2.6763 | lm = 1.7670 | mu = 0.4873 | 
i =   4 | cost = 1.8547 | cstr = 1.6420 | nder = 1.1918 | steps = 15 | lagr = 2.7346 | lm = 2.0120 | mu = 0.7292 | 
i =   5 | cost = 1.7936 | cstr = 1.6327 | nder = 1.0347 | steps = 16 | lagr = 2.8075 | lm = 2.2347 | mu = 0.9706 | 
i =   6 | cost = 1.7728 | cstr = 1.6098 | nder = 1.0175 | steps = 15 | lagr = 2.8838 | lm = 2.4311 | mu = 1.2127 | 
i =   7 | cost = 1.7708 | cstr = 1.5796 | nder = 1.0682 | steps = 16 | lagr = 2.9505 | lm = 2.6145 | mu = 1.4565 | 
i =   8 | cost = 1.7817 | cstr = 1.5424 | nder = 1.1392 | steps = 16 | lagr = 2.9989 | lm = 2.7858 | mu = 1.7021 | 
i =   9 | cost = 1.8052 | cstr = 1.5028 | nder = 1.2106 | steps = 15 | lagr = 3.0379 | lm = 2.9539 | mu = 1.9493 | 
i =  10 | cost = 1.8472 | cstr = 1.4524 | nder = 1.2925 | steps = 16 | lagr = 3.0455 | lm = 3.1009 | mu = 2.1970 | 
