Info    : Reading '../results/t70/domain.msh'...
Info    : 15 entities
Info    : 21117 nodes
Info    : 41637 elements
Info    : Done reading '../results/t70/domain.msh'

	L-Bracket - Linear

> Path = ../results/t70
> Nbr of triangles = 41563
> Iterations:
i =   0 | cost = 3.435557 | nder = 3.1148 | steps =  0 | 
i =   1 | cost = 3.404413 | nder = 2.6960 | steps = 17 | 
i =   2 | cost = 3.382924 | nder = 2.4747 | steps = 16 | 
i =   3 | cost = 3.363521 | nder = 2.3378 | steps = 16 | 
i =   4 | cost = 3.343294 | nder = 2.1719 | steps = 16 | 
i =   5 | cost = 3.322629 | nder = 2.0396 | steps = 16 | 
i =   6 | cost = 3.308366 | nder = 1.9810 | steps = 16 | 
i =   7 | cost = 3.294949 | nder = 1.9079 | steps = 18 | 
i =   8 | cost = 3.276552 | nder = 1.8611 | steps = 17 | 
i =   9 | cost = 3.260836 | nder = 1.8097 | steps = 18 | 
i =  10 | cost = 3.244244 | nder = 1.7784 | steps = 17 | 
i =  11 | cost = 3.228878 | nder = 1.7421 | steps = 17 | 
i =  12 | cost = 3.216576 | nder = 1.7386 | steps = 19 | 
i =  13 | cost = 3.199457 | nder = 1.7167 | steps = 18 | 
i =  14 | cost = 3.186297 | nder = 1.7002 | steps = 18 | 
i =  15 | cost = 3.171939 | nder = 1.6940 | steps = 19 | 
i =  16 | cost = 3.157773 | nder = 1.6903 | steps = 15 | 
i =  17 | cost = 3.142574 | nder = 1.6807 | steps = 18 | 
i =  18 | cost = 3.127088 | nder = 1.6789 | steps = 17 | 
i =  19 | cost = 3.113650 | nder = 1.6763 | steps = 16 | 
i =  20 | cost = 3.100278 | nder = 1.6800 | steps = 17 | 
i =  21 | cost = 3.085496 | nder = 1.6832 | steps = 17 | 
i =  22 | cost = 3.069372 | nder = 1.6804 | steps = 16 | 
i =  23 | cost = 3.055320 | nder = 1.6789 | steps = 18 | 
i =  24 | cost = 3.042519 | nder = 1.6780 | steps = 16 | 
i =  25 | cost = 3.030057 | nder = 1.6827 | steps = 18 | 
i =  26 | cost = 3.016612 | nder = 1.6865 | steps = 15 | 
i =  27 | cost = 3.003699 | nder = 1.6887 | steps = 17 | 
i =  28 | cost = 2.989685 | nder = 1.6922 | steps = 17 | 
i =  29 | cost = 2.977627 | nder = 1.6994 | steps = 17 | 
i =  30 | cost = 2.963738 | nder = 1.7018 | steps = 17 | 
i =  31 | cost = 2.949956 | nder = 1.7009 | steps = 17 | 
