Info    : Reading '../results/t71/domain.msh'...
Info    : 21 entities
Info    : 6823 nodes
Info    : 13288 elements
Info    : Done reading '../results/t71/domain.msh'

	T-Frame Linear

> Path = ../results/t71
> Nbr of triangles = 13240
> Iterations:
i =   0 | cost = 2.261356 | nder = 20.9490 | steps =  0 | 
i =   1 | cost = 1.921049 | nder = 16.6846 | steps = 12 | 
i =   2 | cost = 1.679910 | nder = 15.4332 | steps = 12 | 
i =   3 | cost = 1.438875 | nder = 13.7915 | steps = 12 | 
i =   4 | cost = 1.315680 | nder = 9.7627 | steps = 14 | 
i =   5 | cost = 1.234945 | nder = 7.7643 | steps = 15 | 
i =   6 | cost = 1.170952 | nder = 6.3339 | steps = 14 | 
i =   7 | cost = 1.117878 | nder = 5.2464 | steps = 17 | 
i =   8 | cost = 1.076404 | nder = 4.4076 | steps = 16 | 
i =   9 | cost = 1.041841 | nder = 3.7192 | steps = 17 | 
i =  10 | cost = 1.011849 | nder = 3.1190 | steps = 17 | 
i =  11 | cost = 0.988020 | nder = 2.7079 | steps = 16 | 
i =  12 | cost = 0.965148 | nder = 2.3167 | steps = 19 | 
i =  13 | cost = 0.947621 | nder = 2.0689 | steps = 18 | 
i =  14 | cost = 0.932285 | nder = 1.9152 | steps = 18 | 
i =  15 | cost = 0.917360 | nder = 1.7253 | steps = 19 | 
i =  16 | cost = 0.901985 | nder = 1.5990 | steps = 15 | 
i =  17 | cost = 0.890890 | nder = 1.4964 | steps = 18 | 
i =  18 | cost = 0.878625 | nder = 1.4100 | steps = 17 | 
i =  19 | cost = 0.868768 | nder = 1.3268 | steps = 16 | 
i =  20 | cost = 0.859483 | nder = 1.2748 | steps = 17 | 
i =  21 | cost = 0.849249 | nder = 1.2040 | steps = 17 | 
i =  22 | cost = 0.840234 | nder = 1.1555 | steps = 16 | 
i =  23 | cost = 0.831578 | nder = 1.0784 | steps = 18 | 
i =  24 | cost = 0.825850 | nder = 1.0603 | steps = 17 | 
i =  25 | cost = 0.818678 | nder = 1.0160 | steps = 18 | 
i =  26 | cost = 0.812702 | nder = 0.9927 | steps = 16 | 
i =  27 | cost = 0.805075 | nder = 0.9517 | steps = 18 | 
i =  28 | cost = 0.799677 | nder = 0.9147 | steps = 18 | 
i =  29 | cost = 0.794179 | nder = 0.8849 | steps = 18 | 
i =  30 | cost = 0.788882 | nder = 0.8563 | steps = 18 | 
